Success,Time,Generations,Distance,Angle
True,2.244955,2,7.715061E-05,0
True,1.572474,21,6.811766E-05,0
True,1.932036,8,7.407064E-05,0
True,1.198164,17,3.949991E-05,0
True,1.826054,2,6.115869E-06,0
True,2.516704,11,2.876554E-05,0
True,1.427363,2,1.693761E-05,0
True,1.811499,8,1.318395E-05,0
True,1.684107,28,3.062937E-05,0
True,1.813452,6,5.154647E-05,0
True,1.580398,18,7.39292E-05,0
True,2.642675,4,9.195357E-06,0
True,3.45095,6,2.329345E-05,0
True,2.03828,6,8.927176E-06,0
True,3.816423,4,4.745967E-06,0
True,4.97737,2,3.059641E-06,0
True,4.089527,12,6.122369E-05,0
True,2.808383,14,7.539985E-05,0
True,3.970893,41,4.106929E-05,0
True,2.687391,2,7.102229E-06,0
True,1.938369,4,1.784171E-05,0
True,1.729605,10,3.701252E-06,0
True,2.216833,18,8.159484E-06,0
True,2.915107,63,3.633556E-05,0
True,1.177301,16,6.822591E-05,0
True,2.753371,7,3.825756E-05,0
True,1.256444,2,8.289333E-06,0
True,3.941365,2,1.451382E-05,0
True,2.059479,2,2.959117E-05,0
True,2.658297,2,9.02848E-06,0
True,1.068589,9,1.087389E-05,0
True,3.895834,24,3.168569E-05,0
True,1.922688,2,5.510106E-05,0
True,1.897315,35,6.815812E-06,0
True,2.910826,2,1.685506E-05,0
True,4.528711,4,3.902443E-05,0
True,2.509951,2,2.1746E-05,0
True,2.808104,35,1.83969E-05,0
True,2.119733,20,6.538771E-05,0
True,1.876237,4,5.520191E-06,0
True,1.646248,2,7.768065E-06,0
True,1.798847,14,2.582092E-05,0
True,1.245373,11,1.563597E-05,0
True,0.6799988,16,2.234793E-05,0
False,2.809235,100,0.001501561,0
True,1.383228,4,1.411561E-05,0
True,2.489769,11,6.271247E-06,0
True,2.59467,54,2.968243E-05,0
True,1.898782,55,1.040619E-05,0
True,2.357661,14,6.864634E-06,0
True,0.8999787,8,1.46608E-06,0
True,1.852454,2,9.430728E-06,0
True,4.044195,24,5.640124E-06,0
True,2.502356,14,4.009993E-05,0
True,2.109041,2,8.708097E-06,0
True,3.674502,6,3.263048E-05,0
True,1.200079,8,4.737936E-05,0
True,2.862596,17,7.703785E-06,0
True,2.117109,4,1.652415E-05,0
True,2.514641,16,7.581807E-06,0
True,3.795277,2,1.820275E-05,0
True,3.488238,5,8.674524E-06,0
