Success,Time,Generations,Distance,Angle
True,2.244955,1,7.715061E-05,0
False,1.573292,10,0.001249866,0
True,1.934892,3,1.56469E-05,0
False,1.200392,10,0.0001271668,0
True,1.826054,1,6.115869E-06,0
True,2.516704,5,2.876554E-05,0
True,1.427363,1,1.693761E-05,0
True,1.811499,4,1.318395E-05,0
False,1.68324,10,0.001159749,0
True,1.813452,3,5.154647E-05,0
True,1.580398,10,7.39292E-05,0
True,2.642726,1,7.314634E-06,0
True,3.45095,3,2.329345E-05,0
True,3.62343,3,9.978216E-06,0
True,3.816423,2,4.745967E-06,0
True,4.97737,1,3.059641E-06,0
False,4.089592,10,9.420083E-05,0
False,2.809543,10,0.000168152,0
False,3.970927,10,7.690441E-05,0
True,2.687391,1,7.102229E-06,0
True,1.938369,2,1.784171E-05,0
True,1.729605,3,3.701252E-06,0
False,2.216506,10,0.003785898,0
False,2.914079,10,0.0002635949,0
False,2.302101,10,0.0004741468,0
True,2.753437,3,5.413533E-06,0
True,1.256444,1,8.289333E-06,0
True,3.941365,1,1.451382E-05,0
True,2.059479,1,2.959117E-05,0
True,2.658297,1,9.02848E-06,0
True,1.068589,4,1.087389E-05,0
False,3.895884,10,0.001057057,0
True,1.922688,1,5.510106E-05,0
False,3.294221,10,0.0004332045,0
True,2.910826,1,1.685506E-05,0
True,4.528711,2,3.902443E-05,0
True,2.509951,1,2.1746E-05,0
False,2.808087,10,0.0009095389,0
False,2.122744,10,0.0006426186,0
True,1.876237,2,5.520191E-06,0
True,1.646248,1,7.768065E-06,0
False,1.559555,10,0.0003022274,0
True,1.245558,10,6.35845E-06,0
False,0.6798692,10,0.0002738325,0
False,1.85956,10,0.2183561,0.006484324
True,1.383228,2,1.411561E-05,0
True,2.489769,5,6.271247E-06,0
False,2.900656,10,0.0002740333,0
True,1.898782,10,1.040619E-05,0
False,2.357704,10,0.0001262424,0
True,0.8999787,4,1.46608E-06,0
True,1.852454,1,9.430728E-06,0
False,1.217201,10,0.0005851437,0
False,4.302834,10,0.000329976,0
True,2.109041,1,8.708097E-06,0
True,3.674502,3,3.263048E-05,0
True,1.200079,3,4.737936E-05,0
True,2.862606,10,1.782165E-05,0
True,2.117109,2,1.652415E-05,0
True,2.514641,9,7.581807E-06,0
