Success,Time,Generations,Distance,Angle
False,2.243041,0,0.5617893,0.2584126
False,1.611122,0,0.2521242,0.1104119
False,1.578821,0,0.3397898,0.3847638
False,0.9745368,0,0.1945412,0.0972295
False,2.239598,0,0.4888682,0.4423789
False,2.065243,0,0.3317279,0.1499398
False,1.332386,0,0.2894694,0.1602319
False,1.380799,0,0.8327238,0.3680168
False,1.752638,0,0.4604556,0.4199961
False,1.844537,0,0.3374783,0.1913512
False,1.328909,0,0.4342613,0.3256776
False,2.287409,0,0.453493,0.1847509
False,0.786851,0,0.6219069,0.3282169
False,1.912476,0,0.2951329,0.4541239
False,1.076267,0,0.1785891,0.4435782
False,2.035766,0,0.419443,0.3147604
False,4.051107,0,3.05139,0.3401153
False,1.998074,0,0.08645607,0.4443508
False,3.798442,0,0.7889925,0.370877
False,2.55776,0,0.6626921,0.4326222
False,2.231833,0,0.8373348,0.3874654
False,1.91725,0,0.3341208,0.4393041
False,1.982528,0,0.3867531,0.4810953
False,2.532128,0,0.2841182,0.01432687
False,1.191313,0,0.3202685,0.1923337
False,2.506929,0,0.3939233,0.4726414
False,1.246279,0,0.230436,0.1755745
False,3.332271,0,0.3834711,0.2062789
False,2.292577,0,0.1875293,0.2535674
False,4.130539,0,2.958115,0.4090179
False,1.470827,0,0.5089625,0.3761062
False,3.830913,0,0.2565062,0.2723875
False,1.644171,0,0.6435755,0.3773203
False,1.915702,0,0.5694765,0.1765945
False,1.328759,0,0.3873576,0.07620122
False,2.582129,0,0.3535366,0.05571609
False,2.242969,0,0.8602759,0.2266704
False,2.834606,0,0.4532523,0.4932781
False,1.908488,0,0.237674,0.1975125
False,2.485878,0,0.7071332,0.1498323
False,1.442658,0,0.3013545,0.4412876
False,1.108781,0,0.3507531,0.327498
False,1.320668,0,0.3138444,0.2753596
False,0.7018616,0,0.1086579,0.2003531
False,2.94044,0,0.3780068,0.4956834
False,0.9686638,0,0.2577578,0.2752428
False,2.525473,0,0.1506441,0.1818613
False,1.683185,0,0.2518229,0.4700339
False,0.577414,0,0.4939551,0.1710655
False,2.094695,0,0.3261258,0.1460036
False,1.044413,0,0.3697723,0.07795255
False,1.558325,0,0.1081104,0.4139088
False,2.855521,0,1.728022,0.4181726
False,1.959583,0,0.2429126,0.1753851
False,1.264214,0,0.09766492,0.3787885
False,1.723297,0,1.032259,0.3500772
False,2.233008,0,0.3234073,0.05169842
False,3.116608,0,0.2889604,0.3613612
False,1.137095,0,0.4274016,0.1411967
False,2.412488,0,0.1831873,0.4721526
False,1.590529,0,0.2270854,0.3637837
False,3.624974,0,0.3054847,0.2007658
False,1.227244,0,0.2764603,0.3453103
False,1.107045,0,0.4629287,0.3960295
False,2.582668,0,0.3542382,0.2144377
False,2.731031,0,0.07875131,0.4386979
False,2.805783,0,0.1919361,0.458624
False,1.35366,0,0.3754828,0.3038568
False,2.468957,0,0.5444043,0.3028907
False,1.38309,0,0.6302219,0.3640694
False,2.939188,0,0.669145,0.1429635
False,1.859686,0,0.9388573,0.2351224
False,3.162779,0,1.057125,0.2170801
False,2.208491,0,1.385243,0.1177038
False,3.979298,0,0.2416995,0.2981385
False,2.354195,0,0.5752411,0.4213745
False,1.780488,0,0.4413807,0.221966
False,0.8322019,0,0.2078394,0.2291756
False,0.8058566,0,0.345368,0.3142707
False,3.146144,0,0.9233129,0.1844167
False,1.347758,0,0.5491701,0.2697854
False,1.589442,0,0.2490992,0.2944719
False,1.240216,0,0.6612213,0.1295027
False,1.551184,0,0.241158,0.3053031
False,2.323828,0,0.47704,0.4168645
False,1.838695,0,0.5228538,0.4510481
False,1.460139,0,0.08603272,0.3587059
False,1.313481,0,0.1442028,0.01826309
False,0.9431642,0,0.544509,0.4767101
False,1.300864,0,0.8781085,0.3190142
False,3.558296,0,0.3102326,0.2943801
False,1.65026,0,0.3935059,0.2391079
False,1.944238,0,0.5544732,0.4792576
