Epoch,Training (%),Testing (%),Best (%)
1,87.10214788822213%,87.06258688561161%,87.06258688561161%
2,87.40438718204486%,87.35807226349854%,87.35807226349854%
3,87.76122644558282%,87.70385819755855%,87.70385819755855%
4,87.85853723316168%,87.80096409017798%,87.80096409017798%
5,88.08936922858636%,88.03084647938638%,88.03084647938638%
6,88.27016233057488%,88.21309660055718%,88.21309660055718%
7,88.36510877314858%,88.3009013795849%,88.3009013795849%
8,88.47611753765382%,88.41110499026054%,88.41110499026054%
9,88.52474066930026%,88.45283824848102%,88.45283824848102%
10,88.62805499617092%,88.54404573449067%,88.54404573449067%
11,88.73854884009987%,88.6544044622138%,88.6544044622138%
12,88.67846104334174%,88.58074484909577%,88.6544044622138%
13,88.83067266441853%,88.72897460977673%,88.72897460977673%
14,88.83084043030908%,88.72106291478687%,88.72897460977673%
15,88.83952268308796%,88.72801180425381%,88.72897460977673%
16,88.96665569440226%,88.85623617921642%,88.85623617921642%
17,88.95821374131087%,88.84446340430569%,88.85623617921642%
18,88.9695426318732%,88.85199405961859%,88.85623617921642%
19,89.0623433213115%,88.94688897086056%,88.94688897086056%
20,89.02338422416317%,88.89828716244918%,88.94688897086056%
21,88.96861530541756%,88.84501313194151%,88.94688897086056%
22,88.86578818283944%,88.74673924717327%,88.94688897086056%
23,89.13299212774426%,89.00263349471673%,89.00263349471673%
24,89.1968073253929%,89.07137272886908%,89.07137272886908%
25,89.15540582429682%,89.01621006014851%,89.07137272886908%
26,89.18594434487797%,89.05135290965744%,89.07137272886908%
27,89.13025364257837%,88.98796196669912%,89.07137272886908%
28,89.16070551946503%,89.02082748970608%,89.07137272886908%
29,89.25730921473087%,89.1209514144078%,89.1209514144078%
30,89.28658584911892%,89.14613073387352%,89.14613073387352%
31,89.26214009936349%,89.11770046329917%,89.14613073387352%
32,89.2886756796329%,89.1431573009226%,89.14613073387352%
33,89.34922171378952%,89.20408095940597%,89.20408095940597%
34,89.21825145647124%,89.08214289021217%,89.20408095940597%
35,89.32356178314103%,89.18423407637013%,89.20408095940597%
36,89.36941969851806%,89.21984187813663%,89.21984187813663%
37,89.36323030376218%,89.2198876031807%,89.2198876031807%
38,89.3604135485786%,89.20715496883463%,89.2198876031807%
39,89.34891826280779%,89.19954146443847%,89.2198876031807%
40,89.41614010587291%,89.26365245720531%,89.26365245720531%
41,89.43996944413739%,89.28097705175915%,89.28097705175915%
42,89.37445548166653%,89.22400848446233%,89.28097705175915%
43,89.5340553400745%,89.373198600297%,89.373198600297%
44,89.46446207106882%,89.30088928171128%,89.373198600297%
45,89.37255617502149%,89.2235824510049%,89.373198600297%
46,89.51249331629123%,89.34475056272902%,89.373198600297%
47,89.49823416132489%,89.33198673781118%,89.373198600297%
48,89.55592416040086%,89.38814316844255%,89.38814316844255%
49,89.36711855251104%,89.21655297008226%,89.38814316844255%
50,89.53839861918054%,89.37510115445005%,89.38814316844255%
51,89.53293950944841%,89.36563896063586%,89.38814316844255%
52,89.55761944963663%,89.39175818729106%,89.39175818729106%
53,89.46118146028576%,89.2979527276762%,89.39175818729106%
54,89.58613611087766%,89.4142914582813%,89.4142914582813%
55,89.53660232322882%,89.36459967877082%,89.4142914582813%
56,89.58477651182427%,89.40624088048904%,89.4142914582813%
57,89.60289177439208%,89.43073733819831%,89.43073733819831%
58,89.65234330279112%,89.4754934649935%,89.4754934649935%
59,89.56859690765691%,89.40453050651526%,89.4754934649935%
60,89.60338114025154%,89.43009655130669%,89.4754934649935%
61,89.54804449363837%,89.37115577510653%,89.4754934649935%
62,89.61593882578221%,89.43644027944467%,89.4754934649935%
63,89.58120561511198%,89.40062042451899%,89.4754934649935%
64,89.70201109184929%,89.52649025926252%,89.52649025926252%
65,89.67222792376076%,89.4906563773599%,89.52649025926252%
66,89.63433603780149%,89.45470480918783%,89.52649025926252%
67,89.65006578426596%,89.4635982786015%,89.52649025926252%
68,89.68147330015844%,89.50368071920747%,89.52649025926252%
69,89.60112056941115%,89.41975641319793%,89.52649025926252%
70,89.65609821433162%,89.47408512425896%,89.52649025926252%
71,89.5882346824181%,89.40665217459372%,89.52649025926252%
72,89.6938883002496%,89.51064673833822%,89.52649025926252%
73,89.68480714550121%,89.5023975311112%,89.52649025926252%
74,89.64344748984178%,89.46456393943278%,89.52649025926252%
75,89.69374817397765%,89.51045938915958%,89.52649025926252%
76,89.70944028890287%,89.52649372531513%,89.52649372531513%
77,89.68640192107985%,89.49937362060493%,89.52649372531513%
78,89.58332325129975%,89.40261658492925%,89.52649372531513%
79,89.68930847728248%,89.50145605622004%,89.52649372531513%
80,89.69985322648043%,89.50949090117753%,89.52649372531513%
