Epoch,Training (%),Testing (%),Best (%)
1,83.29546746993448%,83.3141868985741%,83.3141868985741%
2,83.66142421833064%,83.70248465904974%,83.70248465904974%
3,83.80784736373658%,83.8443519615663%,83.8443519615663%
4,83.43197029212502%,83.4620471418999%,83.8443519615663%
5,83.34948340465512%,83.37498423311915%,83.8443519615663%
6,83.61413716636237%,83.67569182005174%,83.8443519615663%
7,83.6945333835968%,83.72571961971093%,83.8443519615663%
8,83.73753998916234%,83.76563519120516%,83.8443519615663%
9,83.9787144286522%,84.02163079406422%,84.02163079406422%
10,83.90101564494904%,83.94667616171371%,84.02163079406422%
11,83.98715139727678%,84.03692223676106%,84.03692223676106%
12,83.82529928134765%,83.85897462411262%,84.03692223676106%
13,84.08703664319602%,84.13731217909732%,84.13731217909732%
14,84.19906937937077%,84.25482488167836%,84.25482488167836%
15,84.01611958505597%,84.06555515952961%,84.25482488167836%
16,84.12646995323534%,84.19704811183249%,84.25482488167836%
17,84.05893070511902%,84.07235132628175%,84.25482488167836%
18,84.17507274294283%,84.24639910618696%,84.25482488167836%
19,84.02585387204971%,84.08029719887253%,84.25482488167836%
20,84.12773711666104%,84.19023244280453%,84.25482488167836%
21,84.16412534594174%,84.22653178982335%,84.25482488167836%
22,84.05805767184134%,84.1152686600013%,84.25482488167836%
23,84.07452915149565%,84.1188119093089%,84.25482488167836%
24,84.1086962847152%,84.15702148089537%,84.25482488167836%
25,83.97869514124478%,84.04709663529304%,84.25482488167836%
26,84.08898281892027%,84.14742816268364%,84.25482488167836%
27,84.01848283827688%,84.0995586203201%,84.25482488167836%
28,84.13575679769005%,84.1869254437439%,84.25482488167836%
29,84.126664845463%,84.1686983110373%,84.25482488167836%
30,84.24123239018407%,84.29921639863649%,84.29921639863649%
31,83.81131125998881%,83.87998550723769%,84.29921639863649%
32,83.96092874158558%,84.00392699616496%,84.29921639863649%
33,84.21216498907293%,84.2708978160241%,84.29921639863649%
34,84.22107384174701%,84.25735674783786%,84.29921639863649%
35,83.96452110298361%,84.00219990909547%,84.29921639863649%
36,84.12789363335456%,84.17450015782266%,84.29921639863649%
37,84.07795067386714%,84.13023457890013%,84.29921639863649%
38,84.26150134835775%,84.32848997379759%,84.32848997379759%
39,83.9640387661421%,84.0019992041382%,84.32848997379759%
40,84.15534362628694%,84.19463590406961%,84.32848997379759%
41,84.20300921775784%,84.24824948893222%,84.32848997379759%
42,83.98128882025566%,84.06975973447697%,84.32848997379759%
43,84.19806540464249%,84.25226474192911%,84.32848997379759%
44,84.24552213023242%,84.31268979397089%,84.32848997379759%
45,84.04004232263948%,84.09812778297191%,84.32848997379759%
46,84.12164523068454%,84.17001949012455%,84.32848997379759%
47,84.12384385354456%,84.19266629500424%,84.32848997379759%
48,84.23579447976138%,84.28998068087179%,84.32848997379759%
49,84.29287454026576%,84.34359915181345%,84.34359915181345%
50,84.31182892245438%,84.3665565225812%,84.3665565225812%
51,84.1490433461779%,84.19435889792011%,84.3665565225812%
52,84.1851557787248%,84.23816005673321%,84.3665565225812%
53,84.11776643097784%,84.22029407710603%,84.3665565225812%
54,84.05810660110052%,84.09983250606261%,84.3665565225812%
55,84.043546497848%,84.10175830181969%,84.3665565225812%
56,84.24176593614008%,84.28449035606882%,84.3665565225812%
57,84.27611622290696%,84.33080564110304%,84.3665565225812%
58,84.20310016348597%,84.25673671265834%,84.3665565225812%
59,84.09446839312102%,84.13553606477201%,84.3665565225812%
60,84.11539214174833%,84.15180312407857%,84.3665565225812%
61,84.21179133764292%,84.25685092924905%,84.3665565225812%
62,84.07828637557115%,84.11392561287644%,84.3665565225812%
63,84.14046303944673%,84.1840534407159%,84.3665565225812%
64,84.18024638609971%,84.21613879690175%,84.3665565225812%
65,84.21154072698589%,84.25153015106577%,84.3665565225812%
66,84.23568131041166%,84.28763925255272%,84.3665565225812%
67,84.25518818238761%,84.3120943149213%,84.3665565225812%
68,84.19400850341108%,84.2415923054308%,84.3665565225812%
69,84.0869576538616%,84.12070959895352%,84.3665565225812%
70,84.12672457540418%,84.14783543951356%,84.3665565225812%
71,84.15257734893646%,84.19173300376018%,84.3665565225812%
72,84.16375008939589%,84.20756226994015%,84.3665565225812%
73,84.21731974652793%,84.26843056724594%,84.3665565225812%
74,84.17026230728264%,84.22846761840769%,84.3665565225812%
75,84.10546045473602%,84.15801831980984%,84.3665565225812%
76,84.16429828051116%,84.21378478149609%,84.3665565225812%
77,83.95742103451875%,83.99148892230346%,84.3665565225812%
78,84.01731727883603%,84.06523132625476%,84.3665565225812%
79,84.1938450514191%,84.24705337667118%,84.3665565225812%
80,84.19062228180852%,84.2413347457909%,84.3665565225812%
81,84.13389553051826%,84.18335370629701%,84.3665565225812%
82,84.04877979774412%,84.09960779513457%,84.3665565225812%
83,84.06974664912012%,84.11850135613422%,84.3665565225812%
84,84.17039420006807%,84.21944944631217%,84.3665565225812%
85,84.09406306929525%,84.13326429503456%,84.3665565225812%
