Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK,Minimal Network,Network
0,1.877854804832836,2.243292245195263,2.243292245195263,2.2248736334875803,1.8140101848845458,1.9849779837224115,,
1,1.24998940253804,1.406955669052839,1.421143194847567,1.504690368000012,1.3548286417147766,1.4558251305928045,,
2,0.37996122338576144,0.4802810071886049,0.3422344222227542,0.45503374315394557,0.43759368066223914,0.30018411094123937,,
3,0.12406807927236656,0.24443871809712064,0.12716757534127787,0.10977725486596177,0.15087561968918017,0.05747932228928196,,
4,0.03842696379409595,0.13348627754427997,0.04479119095878889,0.03258217450646166,0.054506892228824065,0.01534537907524786,,
5,0.011988180788821403,0.07228831477805032,0.02061864376789252,0.018559035957476766,0.02277845273886199,0.003784763121065613,,
6,0.006740615600912322,0.042472803020492514,0.009805828926190028,0.0068707769697386656,0.009916519003163734,0.002394820460926358,,
7,0.0036020662340629428,0.02277965177075421,0.004329010391380678,0.004028225434966465,0.005958645899721199,0.0008603985397924622,,
8,0.003296032687865952,0.015553607150665026,0.003255281223451966,0.0022041248443750434,0.0036035171349251354,0.0002834658688821618,,
9,0.0008885291635360406,0.01112384968660107,0.002666052542086294,0.0008127794896533766,0.002135927132590268,0.00025680459910037875,,
10,0.0009765928059795798,0.008185891163541395,0.001374305633532897,0.0008793955388704559,0.0019125221706520186,0.00022914233150491284,,
11,0.001122147125951808,0.006392888499792407,0.0008582045925409961,0.0009710807673533491,0.002123830586387803,0.00021439026744901005,,
12,0.0012483928476429884,0.0036432763518499845,0.0009319290145690952,0.0010806504161694922,0.002361923487637109,0.00020764430834665853,,
13,0.001363049830323801,0.0022138194966399897,0.001016670132487274,0.0012072475097760463,0.0026177548255037135,0.00019089934295591848,,
14,0.0015683791399472087,0.0002601128597678742,0.001136681992958212,0.00016952700810387095,0.003027855355500436,0.00016966802841781244,,
15,0.0015488098811444325,0.00024886044412125496,0.0012470668992895393,0.00015622970432202483,0.003295304534178935,0.0001604050502210717,,
16,0.0017491839242512266,0.00023544642909423795,0.0013509792012907967,0.000139126570074732,0.0037178973520648343,0.00015426392426012194,,
17,0.0020164150598617533,0.00022893471806684684,0.0015471581013827194,0.00012587147098576585,0.004196585140470546,0.00014498917682383608,,
18,0.0022371196805316233,0.00021274387003040286,0.0017224667718268194,0.00012004421641447685,0.004700175113204753,0.0001370317031691808,,
