Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK,Minimal Network,Network
0,,,,,,,,
1,3.962629516135374,3.8629525010543233,3.8976988260784737,3.9521525227261978,3.9649882508218632,3.9446614430860363,,
2,3.9148958324064114,3.9308454400677233,3.95405342083103,3.916829548925881,3.9101209604666307,3.935227409355784,,
3,3.8843548264536096,3.906254854056504,3.9378179734402563,3.893875554297179,3.8634117373732875,3.904920961985256,,
4,3.8483739837129503,3.8922766412250422,3.9236714568227558,3.8581519991654054,3.8277793538277276,3.886803510782612,,
5,3.812384005801103,3.8682979591506967,3.904065933613948,3.8275034779054873,3.78157745751982,3.8552576230699693,,
6,3.7745609768059323,3.8396284074063236,3.864508046913194,3.7909730327347324,3.7437839257387746,3.8181740194050025,,
7,3.7448548221383295,3.8111591110930405,3.8218311398887197,3.7628000901878798,3.714636380572471,3.787109508022858,,
8,3.719188314339488,3.7857476174019555,3.8007433057472486,3.7393196608357,3.674971191280367,3.747235634489964,,
9,3.691427786414142,3.7613373132076466,3.7669161180076345,3.7037318182934627,3.6423400934925834,3.703457280968303,,
10,3.668243100465374,3.7434590709030506,3.7343203321262886,3.675836515423874,3.6103753377363526,3.6735703970974414,,
11,3.637417781088783,3.72039685628753,3.70242218608425,3.6483255503882397,3.5775124952665713,3.6376517485070097,,
12,3.6062990423959413,3.702161025800845,3.673247535166525,3.6208061084866263,3.5524935190710485,3.6135895981188693,,
13,3.5776239340522182,3.676340842775894,3.65127704787081,3.593033685071551,3.523721122130894,3.586148005993203,,
14,3.5537340562250463,3.6495099832782363,3.6271748424135923,3.57200527572677,3.500662438630459,3.5603198058336853,,
15,3.534178611720206,3.631332775756949,3.6067814634257886,3.545528258830975,3.4731297507918404,3.537081819164069,,
16,3.508094740299204,3.6094102592181088,3.5795720664076,3.526688811241408,3.4509727583311887,3.512908551328545,,
17,3.4871903294706144,3.5908699797400465,3.5517994711850176,3.5055116467767835,3.4252179927338773,3.488398834317414,,
18,3.4605170575477935,3.568964807429815,3.5319821528486854,3.484861064701488,3.4012529351958243,3.4626834984144623,,
19,3.4412494419177504,3.5512598642343676,3.508737803449235,3.457914436751003,3.3738608112106494,3.442204372107097,,
20,3.417704949346181,3.5336108959392836,3.489243977752988,3.4384618190409215,3.356878787701883,3.4242298910557616,,
