Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK
0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,
1,6.52%,4.32%,8.62%,3.44%,7.48%,6.819999999999999%,,
2,26.840000000000003%,25.22%,31.840000000000003%,26.58%,29.659999999999997%,34.06%,,
3,37.64%,32.440000000000005%,39.26%,37.66%,40.22%,43.8%,,
4,46.26%,38.4%,45.379999999999995%,46.68%,47.14%,51.519999999999996%,,
5,55.879999999999995%,44.48%,53.16%,55.059999999999995%,53.26%,61.919999999999995%,,
6,62.78%,52.32%,60.699999999999996%,62.32%,59.78%,67.36%,,
7,68.7%,58.379999999999995%,66.0%,68.2%,65.86%,72.18%,,
8,73.72%,63.44%,70.3%,73.58%,69.88%,77.58%,,
9,77.34%,67.5%,74.33999999999999%,77.44%,74.02%,80.74%,,
10,81.02000000000001%,70.98%,77.92%,80.78%,76.82%,83.64%,,
11,84.44%,74.18%,81.17999999999999%,83.62%,79.75999999999999%,86.11999999999999%,,
12,86.52%,76.6%,83.66%,85.96000000000001%,82.26%,87.88%,,
13,88.0%,79.08%,85.66%,87.94%,84.3%,89.4%,,
14,89.88000000000001%,81.16%,87.7%,89.94%,86.66%,90.86%,,
15,91.36%,83.32000000000001%,89.14%,91.38%,87.86%,92.30000000000001%,,
16,92.47999999999999%,85.02%,90.2%,92.75999999999999%,89.36%,93.30000000000001%,,
17,93.60000000000001%,86.66%,91.66%,93.8%,90.66%,94.14%,,
18,94.28%,88.0%,92.64%,94.8%,91.7%,94.86%,,
19,95.3%,89.5%,93.62%,95.5%,92.64%,95.38%,,
20,96.1%,90.60000000000001%,94.26%,96.08%,93.34%,95.98%,,
21,96.41999999999999%,91.67999999999999%,94.86%,96.52%,94.17999999999999%,96.34%,,
22,96.8%,92.44%,95.52000000000001%,97.02%,94.89999999999999%,96.88%,,
23,97.3%,93.12%,96.0%,97.52%,95.48%,97.34%,,
24,97.7%,93.86%,96.41999999999999%,97.98%,96.02000000000001%,97.72%,,
25,98.02%,94.34%,97.0%,98.16%,96.5%,98.0%,,
26,98.26%,94.92%,97.34%,98.46000000000001%,96.96000000000001%,98.22%,,
27,98.44000000000001%,95.5%,97.72%,98.64%,97.36%,98.4%,,
28,98.7%,96.14%,97.94%,98.86%,97.64%,98.54%,,
29,98.82%,96.56%,98.22%,99.1%,97.76%,98.68%,,
30,98.94%,96.89999999999999%,98.38%,99.2%,97.94%,98.88%,,
31,99.02%,97.1%,98.6%,99.36%,98.1%,98.98%,,
32,99.14%,97.48%,98.66%,99.5%,98.24000000000001%,99.08%,,
33,99.24%,97.74000000000001%,98.78%,99.58%,98.38%,99.14%,,
34,99.3%,97.89999999999999%,98.88%,99.66000000000001%,98.56%,99.3%,,
35,99.36%,98.11999999999999%,99.0%,99.66000000000001%,98.72%,99.42%,,
36,99.4%,98.34%,99.11999999999999%,99.66000000000001%,98.82%,99.48%,,
37,99.48%,98.48%,99.24%,99.68%,98.92%,99.48%,,
38,99.52%,98.66%,99.3%,99.7%,98.94%,99.56%,,
39,99.58%,98.8%,99.38%,99.74%,99.06%,99.64%,,
40,99.64%,98.9%,99.44%,99.76%,99.16%,99.66000000000001%,,
41,99.68%,99.0%,99.5%,99.8%,99.28%,99.66000000000001%,,
42,99.72%,99.11999999999999%,99.52%,99.8%,99.32%,99.66000000000001%,,
43,99.78%,99.24%,99.52%,99.8%,99.36%,99.68%,,
44,99.78%,99.3%,99.56%,99.82%,99.46000000000001%,99.74%,,
45,99.78%,99.38%,99.58%,99.86%,99.5%,99.76%,,
46,99.82%,99.5%,99.6%,99.88%,99.52%,99.83999999999999%,,
47,99.82%,99.53999999999999%,99.62%,99.9%,99.56%,99.86%,,
48,99.82%,99.6%,99.64%,99.9%,99.56%,99.86%,,
49,99.82%,99.6%,99.64%,99.9%,99.64%,99.86%,,
50,99.82%,99.68%,99.7%,99.9%,99.7%,99.86%,,
51,99.86%,99.7%,99.76%,99.9%,99.7%,99.88%,,
52,99.86%,99.72%,99.78%,99.94%,99.74%,99.92%,,
53,99.86%,99.74%,99.8%,99.94%,99.78%,99.96000000000001%,,
54,99.86%,99.74%,99.8%,99.94%,99.78%,99.98%,,
55,99.86%,99.74%,99.8%,99.94%,99.8%,99.98%,,
56,99.86%,99.74%,99.83999999999999%,99.96000000000001%,99.82%,99.98%,,
57,99.86%,99.78%,99.83999999999999%,99.96000000000001%,99.83999999999999%,99.98%,,
58,99.88%,99.8%,99.83999999999999%,99.96000000000001%,99.86%,99.98%,,
59,99.88%,99.8%,99.83999999999999%,99.96000000000001%,99.88%,99.98%,,
60,99.88%,99.82%,99.83999999999999%,99.96000000000001%,99.88%,99.98%,,
61,99.88%,99.82%,99.88%,99.96000000000001%,99.88%,99.98%,,
62,99.88%,99.82%,99.88%,99.96000000000001%,99.92%,99.98%,,
63,99.88%,99.83999999999999%,99.88%,99.96000000000001%,99.94%,99.98%,,
64,99.88%,99.83999999999999%,99.88%,99.96000000000001%,99.94%,99.98%,,
65,99.9%,99.83999999999999%,99.88%,99.96000000000001%,99.96000000000001%,99.98%,,
66,99.9%,99.83999999999999%,99.88%,99.96000000000001%,99.96000000000001%,99.98%,,
67,99.9%,99.83999999999999%,99.88%,99.98%,99.96000000000001%,99.98%,,
68,99.9%,99.83999999999999%,99.9%,99.98%,99.96000000000001%,99.98%,,
69,99.9%,99.86%,99.9%,99.98%,99.96000000000001%,99.98%,,
70,99.9%,99.86%,99.9%,99.98%,99.96000000000001%,99.98%,,
71,99.9%,99.86%,99.9%,100.0%,99.98%,100.0%,,
72,99.92%,99.88%,99.9%,100.0%,99.98%,100.0%,,
73,99.92%,99.88%,99.9%,100.0%,99.98%,100.0%,,
74,99.92%,99.88%,99.9%,100.0%,99.98%,100.0%,,
75,99.94%,99.9%,99.9%,100.0%,99.98%,100.0%,,
76,99.94%,99.9%,99.9%,100.0%,99.98%,100.0%,,
77,99.94%,99.9%,99.9%,100.0%,99.98%,100.0%,,
78,99.94%,99.9%,99.9%,100.0%,99.98%,100.0%,,
79,99.94%,99.9%,99.9%,100.0%,99.98%,100.0%,,
80,99.94%,99.92%,99.9%,100.0%,99.98%,100.0%,,
81,99.94%,99.96000000000001%,99.9%,100.0%,100.0%,100.0%,,
82,99.94%,99.98%,99.9%,100.0%,100.0%,100.0%,,
83,99.94%,99.98%,99.9%,100.0%,100.0%,100.0%,,
84,99.94%,99.98%,99.9%,100.0%,100.0%,100.0%,,
85,99.94%,99.98%,99.92%,100.0%,100.0%,100.0%,,
86,99.94%,99.98%,99.92%,100.0%,100.0%,100.0%,,
87,99.94%,99.98%,99.92%,100.0%,100.0%,100.0%,,
88,99.96000000000001%,99.98%,99.92%,100.0%,100.0%,100.0%,,
89,99.98%,99.98%,99.92%,100.0%,100.0%,100.0%,,
90,99.98%,99.98%,99.94%,100.0%,100.0%,100.0%,,
91,99.98%,99.98%,99.94%,100.0%,100.0%,100.0%,,
92,99.98%,99.98%,99.94%,100.0%,100.0%,100.0%,,
93,99.98%,99.98%,99.94%,100.0%,100.0%,100.0%,,
94,99.98%,99.98%,99.94%,100.0%,100.0%,100.0%,,
95,99.98%,99.98%,99.96000000000001%,100.0%,100.0%,100.0%,,
96,99.98%,99.98%,99.96000000000001%,100.0%,100.0%,100.0%,,
97,99.98%,100.0%,99.96000000000001%,100.0%,100.0%,100.0%,,
98,99.98%,100.0%,99.96000000000001%,100.0%,100.0%,100.0%,,
99,99.98%,100.0%,99.96000000000001%,100.0%,100.0%,100.0%,,
100,99.98%,100.0%,99.96000000000001%,100.0%,100.0%,100.0%,,
101,99.98%,100.0%,99.96000000000001%,100.0%,100.0%,100.0%,,
102,99.98%,100.0%,99.98%,100.0%,100.0%,100.0%,,
103,99.98%,100.0%,99.98%,100.0%,100.0%,100.0%,,
104,99.98%,100.0%,99.98%,100.0%,100.0%,100.0%,,
105,99.98%,100.0%,99.98%,100.0%,100.0%,100.0%,,
106,99.98%,100.0%,99.98%,100.0%,100.0%,100.0%,,
107,99.98%,100.0%,99.98%,100.0%,100.0%,100.0%,,
108,99.98%,100.0%,99.98%,100.0%,100.0%,100.0%,,
109,99.98%,100.0%,99.98%,100.0%,100.0%,100.0%,,
110,99.98%,100.0%,99.98%,100.0%,100.0%,100.0%,,
111,99.98%,100.0%,99.98%,100.0%,100.0%,100.0%,,
112,99.98%,100.0%,99.98%,100.0%,100.0%,100.0%,,
113,99.98%,100.0%,99.98%,100.0%,100.0%,100.0%,,
114,99.98%,100.0%,99.98%,100.0%,100.0%,100.0%,,
115,99.98%,100.0%,99.98%,100.0%,100.0%,100.0%,,
116,99.98%,100.0%,99.98%,100.0%,100.0%,100.0%,,
117,99.98%,100.0%,99.98%,100.0%,100.0%,100.0%,,
118,99.98%,100.0%,99.98%,100.0%,100.0%,100.0%,,
119,99.98%,100.0%,99.98%,100.0%,100.0%,100.0%,,
120,99.98%,100.0%,99.98%,100.0%,100.0%,100.0%,,
121,99.98%,100.0%,99.98%,100.0%,100.0%,100.0%,,
122,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
123,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
124,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
125,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
126,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
127,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
128,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
129,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
130,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
131,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
132,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
133,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
134,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
135,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
136,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
137,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
138,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
139,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
140,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
141,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
142,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
143,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
144,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
145,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
146,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
147,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
148,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
149,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
150,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
151,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
152,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
153,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
154,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,,
