Network,20 DOF Standard,20 DOF Minimal
Parameters,540,140
Joint 1 Accuracy,86.01076152836904%,86.45495493859052%
Joint 2 Accuracy,84.4304413812235%,86.14058822095394%
Joint 3 Accuracy,85.29724480199438%,86.5226993367076%
Joint 4 Accuracy,84.5992565855151%,86.75981093496084%
Joint 5 Accuracy,85.27817219535353%,85.64042848199605%
Joint 6 Accuracy,84.32561774112256%,86.09859057068824%
Joint 7 Accuracy,84.36503274152055%,85.74590853452683%
Joint 8 Accuracy,84.36740528932715%,85.82551331222056%
Joint 9 Accuracy,84.46441093921166%,85.3174571633339%
Joint 10 Accuracy,84.39669742235382%,85.22141892462969%
Joint 11 Accuracy,84.74096585714723%,85.28359660506248%
Joint 12 Accuracy,84.91721257192549%,85.89698740839958%
Joint 13 Accuracy,85.15824993614805%,85.81505586504936%
Joint 14 Accuracy,84.85785544482934%,85.67026152908802%
Joint 15 Accuracy,85.07824239819311%,85.93207681030034%
Joint 16 Accuracy,84.22481600035971%,85.50470499694347%
Joint 17 Accuracy,85.04900790684697%,85.66682080924511%
Joint 18 Accuracy,84.13573383482881%,85.84479946941137%
Joint 19 Accuracy,84.61813891525162%,86.33197534829378%
Joint 20 Accuracy,84.46061688429909%,86.39884598329664%
Average Accuracy,84.73879401879104%,85.90362476218489%
