Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK,Minimal Network,Network
0,1.6960627159349062,1.9424042156328425,1.2665126933848752,1.2254669965914644,1.2720694048007946,1.3212959896351206,,
1,1.119335921523073,1.1371277464611507,0.9339539269644745,0.9217033964530265,0.9021159901608998,0.9192421841939207,,
2,0.3378238363119913,0.5359394918228421,0.5465031582137571,0.40641909091928546,0.509984606933849,0.3037983637006696,,
3,0.12104337604343483,0.3890746697167836,0.4093739089869066,0.15697270088132667,0.324248464170787,0.10344687340075197,,
4,0.05578814142525143,0.263053939800759,0.32128441566959665,0.07952217633608667,0.19809924327143952,0.03690117492632967,,
5,0.02825558643716538,0.16805784650379016,0.2597994346687525,0.047971639518894424,0.12433884191707457,0.017790036982652264,,
6,0.020279490824990264,0.09457648974823003,0.2121545622606146,0.026606899669936967,0.0779870347005256,0.010803648210797316,,
7,0.018291674293800228,0.04958318597619154,0.17263694637815322,0.020706922879514054,0.05297078761503318,0.005936338802821937,,
8,0.013971905703498589,0.03012554002113207,0.1460241547687163,0.014092131509372406,0.03617730279943282,0.004983323415579653,,
9,0.010887976270920188,0.01787797318839519,0.12399545742467973,0.010455543797278685,0.025923004544571672,0.004203713912558144,,
10,0.007488510283442313,0.011586135581441604,0.10197773121852163,0.008257926960561367,0.017888692432902257,0.003954023686566813,,
11,0.007814158294387167,0.007852908159367782,0.08715539100624757,0.006513105749705911,0.014552389115279094,0.003246029331122506,,
12,0.006925020608653213,0.005218141874302485,0.07431707498927403,0.0061163740156502016,0.00973235425765539,0.003150116451036119,,
13,0.006306884073006676,0.0035783678947582482,0.06619860881510982,0.0037341181475319296,0.008076790912681875,0.003083261818298834,,
14,0.006393830777973033,0.003040164195732446,0.05594226210142295,0.0031333332914271223,0.007795274105747648,0.0028738830297974963,,
15,0.006126138257400698,0.0023289402247151218,0.04948444104043845,0.003005262570323962,0.006517898582161992,0.0027181443315798647,,
16,0.005252462709201851,0.0022076156379070813,0.041838983884029894,0.0019630267601344854,0.0065149894899061735,0.0027727167467889212,,
17,0.005339018944876788,0.0018923850822461662,0.035472475838450805,0.0017502738509344172,0.0052599394954423,0.0026607610165272906,,
18,0.004085008869281777,0.0016029559526524954,0.0322022901106591,0.0017892671062817967,0.004986898145918855,0.0026132480134855624,,
19,0.0032783191355981217,0.001617274397042623,0.029964689426289513,0.0013282065074341257,0.002990852396115583,0.0018960142024350296,,
20,0.0033986565589994317,0.0014503466669654006,0.027585119519317282,0.0013367138732150057,0.0028689707670314602,0.0018408645755919857,,
21,0.002534927600891887,0.001386008700220712,0.02474379412052419,0.0011431718763031647,0.002959422987072821,0.0015895504206642527,,
22,0.0021493791961406956,0.0013590931270185285,0.020474174201691755,0.00114682638784008,0.0030206258469004095,0.0015760258236674346,,
23,0.0010559450410471498,0.0013654969869280613,0.018809643951069127,0.0011596522938500933,0.0028918481569746935,0.001289973166588914,,
24,0.001048423691358977,0.001379212981173199,0.015249213284702913,0.0008484015430319466,0.002775541131561916,0.001293663354686627,,
