Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK
0,1.568871952,,1.418109229,1.339160357,1.597596767,2.304993448
1,2.141744598,2.13518289,2.134126022,2.176440231,2.134874802,2.163429957
2,2.138381316,2.140210752,2.126337784,2.131153966,2.11598334,2.14228921
3,2.131189377,2.134240335,2.12479102,2.13017692,2.108494472,2.136261058
4,2.122509306,2.122119685,2.12682134,2.124142741,2.111072055,2.134164857
5,2.113651821,2.120966643,2.118772761,2.115786802,2.104892217,2.124422017
6,2.107100086,2.114460929,2.121053006,2.109396147,2.100749977,2.114412019
7,2.100748735,2.10734213,2.114585967,2.105364181,2.099352429,2.106951116
8,2.095761809,2.104477465,2.113264863,2.094492059,2.095534325,2.100057974
9,2.089302121,2.097796746,2.108570216,2.088307689,2.092150041,2.091997205
10,2.080521628,2.089715245,2.104949268,2.085704878,2.086066744,2.085640868
11,2.07609238,2.090452578,2.101401524,2.080069674,2.081724448,2.084262693
12,2.072718963,2.08610303,2.099314136,2.073963336,2.078295993,2.080320999
13,2.07096671,2.084896269,2.098620746,2.071381264,2.074648002,2.07501004
14,2.068905079,2.080027028,2.096957384,2.07142844,2.07132909,2.071015696
15,2.066318997,2.076109749,2.095314711,2.06940818,2.066498878,2.068831678
16,2.064240406,2.073804862,2.093779723,2.065759971,2.065134165,2.065555091
17,2.061519528,2.070337965,2.092003783,2.064798738,2.064678498,2.062767443
18,2.056858804,2.069182863,2.088567856,2.061464645,2.062571529,2.061498837
19,2.055023605,2.065934543,2.085782556,2.058632309,2.058165241,2.057879528
20,2.05418576,2.062663916,2.081514987,2.05505191,2.05504854,2.05506281
21,2.051865674,2.06201191,2.078680699,2.051735095,2.05299718,2.053800001
22,2.049520415,2.060742765,2.076190025,2.049274004,2.051674255,2.051496341
23,2.047397737,2.058973157,2.075823247,2.047897833,2.05198195,2.049199043
24,2.044065627,2.057867628,2.073721929,2.048347864,2.048223243,2.046547087
25,2.040043577,2.056355011,2.073290989,2.04769112,2.044534129,2.045524285
26,2.03792115,2.055277414,2.072338431,2.045722412,2.043617588,2.042511681
27,2.036709249,2.052351067,2.071505547,2.044359728,2.043663146,2.040899593
28,2.035021639,2.051417667,2.071477328,2.042757178,2.043066575,2.039365526
29,2.033896203,2.049613549,2.069961456,2.041266756,2.040930284,2.038164552
30,2.03185343,2.048896436,2.06784831,2.041274177,2.040487974,2.036393082
31,2.030803317,2.047835199,2.065385052,2.040422121,2.03972019,2.035396057
32,2.029672605,2.046675185,2.064587306,2.040234777,2.038724888,2.034026008
33,2.028455267,2.044776815,2.062775903,2.038260612,2.037575054,2.032808506
34,2.027873423,2.043551441,2.062095347,2.036145887,2.037431999,2.031495233
35,2.025709541,2.041204941,2.061762786,2.034904366,2.037293965,2.030395149
36,2.024636954,2.039272737,2.060278665,2.033817825,2.036826525,2.030199166
37,2.023685842,2.037718187,2.057665845,2.032871205,2.035433866,2.028841523
38,2.021940404,2.036195942,2.056993123,2.031827289,2.034337182,2.028763173
39,2.0196535,2.03493716,2.056322988,2.029567367,2.033154647,2.026899426
40,2.018827044,2.034294641,2.055552403,2.027907835,2.031774884,2.025524173
41,2.017800055,2.032162946,2.054942591,2.026103322,2.030959582,2.025000729
42,2.016759309,2.03094515,2.053788962,2.025458594,2.028722495,2.024420306
43,2.016474655,2.029224197,2.052714342,2.024293351,2.027199494,2.023763634
44,2.015186944,2.027776426,2.05225639,2.023690633,2.02651145,2.024171147
45,2.013951254,2.026831705,2.052016362,2.0220491,2.025512697,2.022884341
46,2.012976496,2.025684491,2.051244882,2.020895469,2.023893868,2.022604853
47,2.013008613,2.024366698,2.050445782,2.020651027,2.023682649,2.022403278
48,2.012698128,2.023172271,2.049020616,2.01953311,2.022998543,2.021674549
49,2.011397807,2.022340227,2.048972104,2.019324161,2.021475923,2.02037391
50,2.010868687,2.022612575,2.047858478,2.018214296,2.021085888,2.019769321
51,2.009720482,2.021899177,2.046823066,2.017404584,2.019373881,2.018583526
52,2.008560377,2.019596916,2.045694163,2.016043931,2.01986065,2.017943932
53,2.00887949,2.019142447,2.044427654,2.014966326,2.019801506,2.017332187
54,2.008205367,2.018201442,2.043123405,2.013157299,2.019689246,2.016973136
55,2.007758586,2.017744506,2.042949933,2.01207953,2.019489241,2.016329249
56,2.006589005,2.017212759,2.041625378,2.011681662,2.019507622,2.015772658
57,2.006143869,2.01713275,2.040869795,2.01112767,2.018635696,2.015405846
58,2.006298046,2.016605785,2.040060884,2.010341057,2.017914986,2.014448173
59,2.006336485,2.016154587,2.038304202,2.009545534,2.017801918,2.013892564
60,2.006067435,2.016406242,2.037101648,2.008602814,2.016877027,2.013093331
61,2.00603117,2.016099994,2.036485008,2.008566331,2.016289455,2.012964283
62,2.005738456,2.015517313,2.036435825,2.008078284,2.016031993,2.012598684
63,2.004980944,2.015661483,2.035336147,2.008092797,2.015295964,2.011400603
64,2.004742874,2.014723221,2.0347295,2.007611413,2.013400316,2.010799685
65,2.003955189,2.014568944,2.034723226,2.006929779,2.013054567,2.01072221
66,2.003487025,2.01368981,2.033655561,2.0059337,2.013112236,2.010105532
67,2.002584051,2.012994971,2.033081988,2.004675278,2.012472439,2.009150797
68,2.001700939,2.01300491,2.03206315,2.003816329,2.012132123,2.008609869
69,2.001879621,2.013057178,2.03191307,2.003619583,2.011542666,2.008236391
70,2.00140764,2.012063931,2.031562538,2.003262788,2.01159565,2.008203975
71,2.001185515,2.011580341,2.030389896,2.002797109,2.010728821,2.007234435
72,2.000550884,2.011070136,2.028537438,2.002423841,2.009486881,2.006627905
73,1.999860932,2.010680116,2.027767278,2.001892627,2.009404282,2.005813643
74,1.999178135,2.010764087,2.026890054,2.001630651,2.009153504,2.005235277
75,1.998214329,2.009544622,2.026047432,2.001548238,2.008587594,2.004893072
76,1.998601637,2.008656199,2.025978808,2.001131607,2.007951613,2.004033762
77,1.998617419,2.008157234,2.024925568,2.000707898,2.007410671,2.003269078
78,1.998517945,2.007251258,2.024602963,2.00072565,2.006850797,2.003352532
79,1.998059468,2.006644361,2.02436798,2.000091685,2.00579387,2.003030465
80,1.997977291,2.005415961,2.023590548,1.999243679,2.005077949,2.002113689
81,1.997613024,2.005787866,2.023296106,1.998718599,2.004365605,2.00129861
82,1.997020964,2.00591014,2.023035457,1.998160868,2.004324681,2.001045089
83,1.996666333,2.005563691,2.022521622,1.997773777,2.003878898,2.000307169
84,1.996240642,2.005144311,2.021532997,1.997536235,2.00365502,1.999878987
85,1.996313145,2.003793981,2.021558727,1.996811949,2.003164027,1.99944075
86,1.996318376,2.003705087,2.021221144,1.996214515,2.003286971,1.999191548
87,1.996225631,2.003300551,2.020754039,1.995975012,2.002940099,1.998748647
88,1.995880638,2.003383642,2.020466903,1.995761128,2.002474932,1.998659522
89,1.995208508,2.00315325,2.019402456,1.995401794,2.002108374,1.99772983
90,1.994745885,2.002886749,2.019740745,1.995025001,2.001847603,1.997327739
91,1.994297411,2.002770173,2.020021294,1.994542016,2.001666086,1.996943299
92,1.994435711,2.002427871,2.019555597,1.993661737,2.001858449,1.996689913
93,1.994248006,2.002095998,2.020112198,1.993453952,2.001903063,1.996181509
94,1.993930074,2.002234568,2.019574244,1.993311861,2.001554325,1.996124834
95,1.993876697,2.001864805,2.019521045,1.993059504,2.001524322,1.995350937
96,1.993691336,2.001511609,2.01960265,1.992945099,2.000281106,1.995032692
97,1.993542534,2.001117586,2.019090998,1.992621887,1.999746406,1.994956282
98,1.992992982,2.000422959,2.019082781,1.991944289,1.99978586,1.993759157
99,1.992790211,2.000517969,2.018913541,1.991713038,1.999462063,1.993526389
100,1.992302263,2.000142362,2.018231064,1.991057788,1.999131391,1.993441792
101,1.992176423,1.999911559,2.017639116,1.990882857,1.998692759,1.993427626
102,1.991307751,1.999166723,2.017257719,1.990985565,1.998738706,1.992863382
103,1.991288862,1.998785045,2.017537169,1.99038291,1.998453071,1.992621319
104,1.9910296,1.998555744,2.017579722,1.990466931,1.99740307,1.99246734
105,1.990789391,1.998419515,2.016589538,1.990229664,1.997309055,1.992207258
106,1.990593863,1.99802194,2.016410359,1.990251646,1.996840538,1.992014383
107,1.990350944,1.997775585,2.015983597,1.989863707,1.99680833,1.991751763
108,1.990003175,1.997619499,2.015739397,1.989697423,1.996516916,1.991461392
109,1.989903965,1.99740966,2.014821879,1.989539986,1.99613621,1.990926303
110,1.989747078,1.997183943,2.014549088,1.989042285,1.99599942,1.990996545
111,1.989414489,1.997038145,2.014408981,1.989082757,1.995736726,1.990611217
112,1.989284837,1.997047895,2.014174362,1.988777141,1.995854571,1.990419991
113,1.988992972,1.996507347,2.014327786,1.988486717,1.995643451,1.990437028
114,1.988251306,1.996437575,2.013919651,1.988444405,1.995835941,1.989817769
115,1.988132499,1.995903228,2.013739981,1.988463772,1.995448374,1.989636347
116,1.987780524,1.995730687,2.013787404,1.988173506,1.994787777,1.989188152
117,1.987774562,1.99559575,2.013437515,1.987759655,1.994021015,1.989062643
118,1.987834219,1.995203431,2.013108125,1.987679257,1.993671112,1.988785191
119,1.988083901,1.995053609,2.013448871,1.987756224,1.993455076,1.988769018
120,1.988241269,1.995122657,2.012893782,1.987897719,1.993648261,1.988416769
121,1.988045263,1.994821015,2.013401844,1.987907997,1.99334436,1.988515214
122,1.987785782,1.99461452,2.013161828,1.987938786,1.993307705,1.988275714
123,1.987651563,1.994467378,2.012618336,1.98766855,1.993526851,1.988215382
124,1.98748134,1.994320042,2.012524276,1.987636126,1.993320607,1.987955071
125,1.987238047,1.994150093,2.012462791,1.9874544,1.993282182,1.987594467
126,1.986948301,1.994013508,2.012236127,1.987084852,1.992955055,1.987162361
127,1.986803,1.993907382,2.011980594,1.986858937,1.99262883,1.986782806
128,1.986551983,1.993921633,2.012173009,1.986345364,1.992397072,1.986566952
129,1.986490364,1.993502581,2.0120794,1.985911087,1.992398824,1.986334424
130,1.986331339,1.99321894,2.011958275,1.986086952,1.992101125,1.986363144
131,1.98621016,1.992798691,2.01195118,1.986089658,1.99175117,1.985890046
132,1.985944984,1.992456074,2.01178506,1.98584944,1.991631489,1.985574844
133,1.985784698,1.99215296,2.011497367,1.986057,1.991155735,1.985588669
134,1.985601973,1.992095049,2.011633586,1.985650064,1.990964993,1.985612382
135,1.985201171,1.992087277,2.011164041,1.985408623,1.99068266,1.985588753
136,1.985500623,1.992001193,2.010732846,1.985588987,1.990488279,1.985324119
137,1.985477597,1.991762288,2.010712433,1.984878385,1.990260434,1.985406675
138,1.98533654,1.991408261,2.01048323,1.984290599,1.989837456,1.985094861
139,1.985113827,1.991120112,2.009904459,1.984174222,1.989436331,1.984955447
140,1.984610582,1.990630199,2.009527344,1.984170423,1.989163684,1.984912834
141,1.98426592,1.990521058,2.009241491,1.983981981,1.988893469,1.98463773
142,1.984021316,1.990471757,2.009150746,1.983662146,1.988807102,1.98434586
143,1.983754282,1.990008102,2.008530974,1.983510163,1.988331753,1.983885546
144,1.983309874,1.989709285,2.008684806,1.983323372,1.987985621,1.983966014
145,1.983087061,1.989743919,2.008588637,1.983236613,1.988230768,1.983865645
146,1.982890002,1.989737683,2.008397587,1.983117278,1.988305764,1.983695128
147,1.982558481,1.98951965,2.008381159,1.983067508,1.988258915,1.983147228
148,1.982408639,1.989538367,2.008240885,1.983136617,1.988178324,1.982889888
149,1.982349069,1.989416655,2.007882101,1.983061069,1.987897869,1.982493706
150,1.981952509,1.989152718,2.007543586,1.982525702,1.987692218,1.982418478
151,1.981837946,1.988873893,2.007381317,1.982542623,1.987725463,1.981757283
152,1.981734434,1.988398884,2.00649815,1.982419792,1.987584831,1.981803229
153,1.981926825,1.98828484,2.005981485,1.98234678,1.987583383,1.981446257
154,1.981809256,1.988297987,2.005764961,1.982157406,1.987502598,1.981355629
155,1.981477571,1.987864479,2.005377301,1.982048575,1.987407834,1.981036974
156,1.981216164,1.987770194,2.005099966,1.981972379,1.986883021,1.980969016
157,1.981111571,1.987552752,2.005075957,1.981679421,1.986631657,1.980839357
158,1.980867359,1.987579994,2.004969882,1.981850623,1.986620737,1.980852961
159,1.981017943,1.987421413,2.005084295,1.981726823,1.986390488,1.980535121
160,1.980950413,1.987318012,2.005098737,1.981457231,1.986300084,1.980256389
161,1.980810574,1.987538007,2.005005295,1.981236528,1.986151407,1.97999398
162,1.980535041,1.987334096,2.004922945,1.981059785,1.986027423,1.979987111
163,1.980461071,1.987316047,2.004934995,1.981230298,1.985900533,1.979882443
164,1.980486672,1.986946958,2.004630895,1.980988723,1.985768529,1.979522127
165,1.980435866,1.986795107,2.004466797,1.980888296,1.98546747,1.97940384
166,1.98020517,1.986869173,2.004317827,1.980617903,1.985224098,1.979232348
167,1.980053733,1.986766758,2.00430532,1.980605086,1.984735076,1.979216945
168,1.97981727,1.986390743,2.003715728,1.980196316,1.984375274,1.979003724
169,1.979340083,1.986326127,2.003397292,1.980083286,1.98417933,1.978849928
170,1.979015946,1.986360155,2.003416336,1.979907335,1.983895796,1.9788623
171,1.978633889,1.986412976,2.003571652,1.98001429,1.983704492,1.978774901
172,1.978589007,1.986345006,2.003214437,1.979571079,1.983925652,1.978695867
173,1.978338747,1.986323047,2.002987544,1.979164051,1.984085921,1.97828086
174,1.978110594,1.986227949,2.002955234,1.978696664,1.983815613,1.978230884
175,1.977825413,1.986178978,2.002603498,1.97867151,1.983409275,1.978269413
176,1.977473708,1.985810804,2.002558506,1.978644174,1.983337852,1.978132434
177,1.977236878,1.985525668,2.002370287,1.978439864,1.983270521,1.97799912
178,1.977278117,1.985503554,2.002468403,1.97848149,1.983191421,1.978046335
