Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK
0,0.04%,0.0%,0.02%,0.04%,0.08%,0.04%,,
1,12.78%,10.059999999999999%,8.219999999999999%,12.24%,10.96%,12.620000000000001%,,
2,36.46%,25.380000000000003%,25.0%,35.06%,28.02%,36.04%,,
3,47.08%,33.32%,33.18%,46.46%,38.78%,47.5%,,
4,54.82%,42.4%,38.46%,53.959999999999994%,47.699999999999996%,55.800000000000004%,,
5,62.839999999999996%,49.78%,43.14%,60.419999999999995%,54.24%,62.980000000000004%,,
6,67.58%,55.300000000000004%,47.32%,65.78%,60.38%,67.72%,,
7,71.16%,60.199999999999996%,50.94%,69.82000000000001%,64.36%,71.1%,,
8,74.36%,63.9%,54.339999999999996%,72.7%,67.38%,73.7%,,
9,76.82%,67.92%,57.379999999999995%,75.66000000000001%,70.72%,76.22%,,
10,78.60000000000001%,70.86%,59.760000000000005%,77.48%,72.96000000000001%,78.25999999999999%,,
11,80.25999999999999%,73.06%,62.019999999999996%,78.82000000000001%,74.68%,79.92%,,
12,81.6%,75.33999999999999%,64.03999999999999%,80.5%,76.44%,80.97999999999999%,,
13,82.76%,77.16%,65.86%,81.72%,78.03999999999999%,82.04%,,
14,83.86%,78.94%,67.60000000000001%,82.8%,79.28%,83.14%,,
15,84.76%,80.46%,68.94%,83.64%,80.36%,83.94%,,
16,85.5%,81.46%,70.5%,84.5%,81.32000000000001%,84.89999999999999%,,
17,86.0%,82.5%,71.98%,85.2%,82.3%,85.82%,,
18,86.58%,83.12%,73.14%,85.88%,83.17999999999999%,86.33999999999999%,,
19,87.03999999999999%,83.91999999999999%,74.02%,86.72%,83.86%,86.82%,,
20,87.66000000000001%,84.72%,75.22%,87.16000000000001%,84.28%,87.24%,,
21,88.06%,85.34%,75.94%,87.62%,84.98%,87.7%,,
22,88.52%,86.06%,76.88000000000001%,88.1%,85.66%,87.96000000000001%,,
23,88.86%,86.52%,77.82%,88.5%,86.11999999999999%,88.22%,,
24,89.4%,86.96000000000001%,78.60000000000001%,89.0%,86.61999999999999%,88.53999999999999%,,
25,89.78%,87.4%,79.5%,89.38000000000001%,87.0%,88.84%,,
26,90.02%,87.8%,80.16%,89.64%,87.4%,89.03999999999999%,,
27,90.4%,88.12%,80.67999999999999%,90.12%,87.66000000000001%,89.44%,,
28,90.74%,88.36%,81.16%,90.53999999999999%,88.03999999999999%,89.78%,,
29,91.03999999999999%,88.64%,81.72%,90.88000000000001%,88.28%,90.14%,,
30,91.22%,88.92%,82.36%,91.12%,88.52%,90.44%,,
31,91.42%,89.0%,82.76%,91.28%,89.02%,90.60000000000001%,,
32,91.75999999999999%,89.28%,83.08%,91.62%,89.32%,90.92%,,
33,91.92%,89.42%,83.44%,91.9%,89.60000000000001%,91.22%,,
34,92.16%,89.74%,83.78%,92.04%,89.94%,91.42%,,
35,92.32000000000001%,90.0%,84.28%,92.36%,90.2%,91.58%,,
36,92.47999999999999%,90.25999999999999%,84.52%,92.52%,90.4%,91.78%,,
37,92.66%,90.53999999999999%,84.96000000000001%,92.82000000000001%,90.64%,91.92%,,
38,92.86%,90.75999999999999%,85.32%,92.92%,90.88000000000001%,92.14%,,
39,93.0%,90.94%,85.64%,93.14%,91.03999999999999%,92.22%,,
40,93.16%,91.10000000000001%,86.1%,93.28%,91.24%,92.4%,,
41,93.30000000000001%,91.25999999999999%,86.4%,93.38%,91.52%,92.5%,,
42,93.47999999999999%,91.34%,86.66%,93.56%,91.67999999999999%,92.72%,,
43,93.62%,91.52%,86.92%,93.7%,91.86%,92.84%,,
44,93.72%,91.75999999999999%,87.2%,93.82000000000001%,91.92%,92.94%,,
45,93.82000000000001%,91.88%,87.46000000000001%,93.96%,92.14%,93.2%,,
46,93.92%,92.06%,87.7%,94.12%,92.44%,93.34%,,
47,94.04%,92.14%,88.02%,94.16%,92.58%,93.4%,,
48,94.16%,92.30000000000001%,88.16000000000001%,94.3%,92.82000000000001%,93.5%,,
49,94.24%,92.4%,88.26%,94.39999999999999%,92.94%,93.66%,,
50,94.3%,92.60000000000001%,88.48%,94.5%,92.97999999999999%,93.84%,,
51,94.38%,92.7%,88.62%,94.56%,93.08%,93.96%,,
52,94.5%,92.82000000000001%,88.74%,94.69999999999999%,93.14%,94.1%,,
53,94.58%,92.86%,88.98%,94.74000000000001%,93.26%,94.32000000000001%,,
54,94.66%,92.94%,89.1%,94.78%,93.4%,94.39999999999999%,,
55,94.74000000000001%,93.04%,89.25999999999999%,94.88%,93.54%,94.5%,,
56,94.8%,93.10000000000001%,89.32%,94.96%,93.7%,94.6%,,
57,94.84%,93.2%,89.52%,95.02000000000001%,93.76%,94.69999999999999%,,
58,94.89999999999999%,93.36%,89.60000000000001%,95.1%,93.89999999999999%,94.76%,,
59,95.04%,93.46%,89.75999999999999%,95.17999999999999%,93.94%,94.92%,,
60,95.12%,93.5%,89.86%,95.34%,94.0%,94.96%,,
61,95.16%,93.62%,89.94%,95.39999999999999%,94.1%,95.14%,,
62,95.24000000000001%,93.64%,90.06%,95.46%,94.26%,95.22%,,
63,95.26%,93.74%,90.10000000000001%,95.52000000000001%,94.46%,95.3%,,
64,95.38%,93.82000000000001%,90.28%,95.58%,94.48%,95.36%,,
65,95.5%,93.92%,90.38000000000001%,95.64%,94.48%,95.46%,,
66,95.54%,94.0%,90.53999999999999%,95.76%,94.56%,95.48%,,
67,95.6%,94.1%,90.66%,95.8%,94.58%,95.52000000000001%,,
68,95.62%,94.17999999999999%,90.84%,95.92%,94.62%,95.56%,,
69,95.67999999999999%,94.32000000000001%,91.06%,96.0%,94.64%,95.6%,,
70,95.72%,94.42%,91.14%,96.02000000000001%,94.69999999999999%,95.64%,,
71,95.74000000000001%,94.54%,91.22%,96.08%,94.72%,95.72%,,
72,95.8%,94.62%,91.3%,96.08%,94.78%,95.78%,,
73,95.84%,94.66%,91.34%,96.16%,94.84%,95.84%,,
74,95.84%,94.69999999999999%,91.52%,96.2%,94.88%,95.86%,,
75,95.84%,94.78%,91.56%,96.22%,94.96%,95.92%,,
