I1,I2,I3,I4,I5,I6,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O20
0.5187817,0.4769443,0.5534531,0.1044417,0.8315023,0.4318559,0.2289303,0.2872473,0.6755462,0.7383993,0.2242597,0.655134,0.5338188,0.7932547,0.2473181,0.775377,0.3816147,0.4851829,0.7776968,0.5343996,0.5029039,0.3135581,0.4880799,0.3339727,0.64461,0.509596
0.4986858,0.5955837,0.517137,0.9830753,0.5599587,0.356548,0.3221897,0.6199659,0.2337555,0.5148927,0.5791082,0.5813887,0.6844782,0.3214059,0.5970781,0.5050497,0.6148694,0.3310965,0.4786941,0.2405057,0.3242278,0.6453655,0.5343858,0.758203,0.7193083,0.797336
0.5544186,0.5748399,0.5516804,0.01077009,0.01145436,0.3723233,0.4103576,0.5468765,0.4713707,0.5051773,0.7086825,0.576405,0.334713,0.3668523,0.6681285,0.3021475,0.4237146,0.4558135,0.6797941,0.4411393,0.3951557,0.4634282,0.7755904,0.3348108,0.5439649,0.5625636
0.5010822,0.5030718,0.4798014,0.01490334,0.02354213,0.5959767,0.4186221,0.5206565,0.6490994,0.2603222,0.3929179,0.2158596,0.741127,0.4381274,0.8347872,0.5913088,0.4408026,0.5028582,0.2141773,0.1660281,0.8037363,0.4858392,0.7155723,0.450346,0.542025,0.5060647
0.456395,0.5547901,0.3926859,0.1483547,0.4436713,0.3633032,0.2900085,0.4766888,0.4742079,0.775499,0.6903647,0.5161166,0.3617353,0.4960612,0.7678279,0.4732478,0.5502049,0.5414253,0.6626167,0.275655,0.4661883,0.5147008,0.7148369,0.2618385,0.5001758,0.3341662
0.4149481,0.4885254,0.577494,0.8766355,0.3023469,0.1869115,0.5492887,0.4417036,0.4209014,0.4402472,0.4119607,0.6224869,0.3350241,0.6265242,0.5527231,0.7478995,0.361564,0.5002106,0.3328833,0.4204231,0.4031027,0.578851,0.4942035,0.3773499,0.7036794,0.5330013
0.4231215,0.6250894,0.5226411,0.9312576,0.7148893,0.1762798,0.2878688,0.4994333,0.6332098,0.5619274,0.4964299,0.7023222,0.3743392,0.4614456,0.5004671,0.5709191,0.1820307,0.7699554,0.2930759,0.6991389,0.6554422,0.3208665,0.6231459,0.7756425,0.5399374,0.6934556
0.3567571,0.4561616,0.4528228,0.829204,0.2614851,0.2715384,0.3641133,0.6893322,0.6920747,0.3821551,0.2636136,0.6911281,0.5925109,0.4672392,0.6641902,0.5273309,0.183402,0.8070917,0.5464939,0.4627967,0.6465795,0.7075844,0.7455673,0.5950883,0.6632876,0.5766731
0.4451283,0.4749133,0.489884,0.1365982,0.5897471,0.4235229,0.1828624,0.682537,0.2455338,0.3201305,0.5846656,0.304999,0.5004463,0.5085943,0.7367576,0.5967771,0.4062807,0.6433345,0.3965443,0.6994253,0.3036129,0.8414987,0.6710942,0.6335745,0.1736397,0.4553686
0.4437102,0.5249512,0.6040407,0.8841572,0.953367,0.01047798,0.4086766,0.3627321,0.4640334,0.2422357,0.4062696,0.5868312,0.5218775,0.2835513,0.4708994,0.415229,0.5779974,0.5734476,0.6537058,0.2838043,0.6915183,0.5123148,0.5073822,0.2520797,0.4910361,0.6584657
0.473135,0.533503,0.5418928,0.1451833,0.006260538,0.01659995,0.2453365,0.3991534,0.3972995,0.2392466,0.1733717,0.5082348,0.311012,0.3472505,0.3346129,0.3556522,0.6324179,0.354742,0.5580491,0.2965409,0.55572,0.450899,0.8427714,0.4462375,0.6696022,0.4662064
0.5351183,0.5117425,0.592805,0.06517088,0.7221559,0.9032139,0.5504541,0.7664612,0.6795881,0.5551541,0.3531629,0.614868,0.6708673,0.62077,0.2818052,0.6422674,0.6257972,0.712847,0.6423144,0.3678538,0.7088897,0.4444715,0.6995221,0.3576133,0.6939602,0.2975729
0.5834115,0.5356343,0.4110222,0.8488144,0.4641821,0.2280787,0.477821,0.6278635,0.6559001,0.3160331,0.7221845,0.7159583,0.7325205,0.6864368,0.6177616,0.7510888,0.2004317,0.4414554,0.4570006,0.7657838,0.800935,0.4846229,0.5761393,0.5925468,0.67497,0.3525496
0.4925222,0.4817921,0.4214531,0.878332,0.7591068,0.1820643,0.7875815,0.5651856,0.2924445,0.283867,0.5569441,0.3572915,0.6823614,0.6025982,0.7209656,0.6007255,0.4662468,0.7788438,0.4653154,0.5998858,0.3193165,0.4492527,0.5849268,0.2629407,0.5700396,0.29051
0.5556831,0.3677694,0.6238742,0.9454284,0.6820464,0.3115502,0.4586863,0.2915564,0.531648,0.2319044,0.5551689,0.2578346,0.4612092,0.2203278,0.7291814,0.7510632,0.2573322,0.2767135,0.4133744,0.3240576,0.5279273,0.5816195,0.4968021,0.5324728,0.6766022,0.5124502
0.5096707,0.6104379,0.531015,0.1443094,0.2740091,0.8628488,0.6208523,0.7662972,0.4328136,0.4135889,0.6810157,0.4657152,0.5196245,0.3996817,0.4878535,0.5367191,0.6578472,0.5157293,0.7065514,0.7763813,0.2070375,0.2462401,0.5372223,0.4333616,0.2119407,0.7454228
0.4929959,0.5333099,0.5495508,0.07650415,0.6643696,0.5891916,0.1779157,0.4785898,0.3971942,0.7237661,0.3817968,0.499145,0.2570743,0.6051424,0.5088142,0.8413789,0.2297769,0.6020378,0.7610367,0.4944499,0.6716133,0.419786,0.3838957,0.2003462,0.5922486,0.5699485
0.4245862,0.4679545,0.5553765,0.03056416,0.355046,0.402472,0.4401297,0.6237354,0.5841791,0.5649862,0.3438843,0.5822829,0.4799241,0.4446666,0.3141545,0.6268947,0.5362387,0.6918048,0.412085,0.5134204,0.3863984,0.7716856,0.4918116,0.6301306,0.4510013,0.6069986
0.4344137,0.4892827,0.5501514,0.08312263,0.8716916,0.4340799,0.4244477,0.3159287,0.5129486,0.3046834,0.2782016,0.2523065,0.8067767,0.6733904,0.6034837,0.3369479,0.5450112,0.3594667,0.5711004,0.2803995,0.4491321,0.4744961,0.6490026,0.3670206,0.2758189,0.507412
0.5468389,0.5609439,0.4972596,0.1129327,0.5935328,0.1480673,0.1978144,0.7226676,0.5375205,0.4599452,0.8161806,0.6946559,0.3000631,0.51074,0.6179212,0.1949894,0.7617275,0.411313,0.6213053,0.7140572,0.193441,0.4132778,0.1861977,0.6306471,0.3926968,0.1764922
0.4624966,0.502933,0.4895997,0.9905618,0.4374045,0.7438979,0.6242175,0.4249401,0.6471013,0.734547,0.4169374,0.7612872,0.3687306,0.7716242,0.3599013,0.5414873,0.614576,0.3265913,0.7797774,0.5112138,0.6478562,0.2949655,0.282198,0.3015281,0.417524,0.4095204
0.5292628,0.5012516,0.4700819,0.0231379,0.320637,0.6372133,0.2709115,0.7079492,0.7120123,0.1295228,0.5786241,0.493026,0.4582244,0.7461827,0.2710623,0.5349143,0.2942595,0.6977732,0.6116343,0.5070305,0.4007514,0.7104086,0.4272582,0.414214,0.5280876,0.7760057
0.6292189,0.5769367,0.4760839,0.1184273,0.8649753,0.2918584,0.5319469,0.2604672,0.3006809,0.7552832,0.6178607,0.6758086,0.658312,0.6550066,0.3729441,0.4352595,0.5389811,0.7886709,0.395603,0.46991,0.2452907,0.2584352,0.6288134,0.5506482,0.5941017,0.2590953
0.50109,0.5398453,0.6152886,0.9550784,0.2141589,0.9968278,0.3599585,0.4220717,0.333082,0.2623925,0.403971,0.7299292,0.3416115,0.666746,0.3482577,0.7217366,0.8005733,0.4909888,0.5848849,0.4657387,0.5281079,0.385225,0.6340696,0.4425047,0.6290742,0.3872182
0.5294058,0.5526558,0.595972,0.8468047,0.6217618,0.2694999,0.675123,0.7366114,0.532899,0.304168,0.6231998,0.523115,0.4800328,0.424287,0.3300826,0.7048465,0.3958525,0.5361606,0.3799311,0.4297353,0.4748282,0.7653294,0.2564294,0.4489596,0.4871561,0.2635709
0.534974,0.4605122,0.4979317,0.1586368,0.05590195,0.774756,0.6416026,0.5345702,0.6998898,0.668011,0.2960642,0.6983246,0.5322803,0.5522975,0.3958421,0.5940647,0.5972258,0.5846827,0.3890761,0.4900976,0.318254,0.7195625,0.4925652,0.6304569,0.3472143,0.381291
0.4839248,0.5173921,0.6925001,0.02154537,0.2598398,0.4065801,0.456074,0.6603221,0.3656321,0.4041708,0.7879087,0.544029,0.2965795,0.3190692,0.4258894,0.5043491,0.3932697,0.4598466,0.6212756,0.4154392,0.6697129,0.3307214,0.4028331,0.2819133,0.5746431,0.2331496
0.6356144,0.5023136,0.4247139,0.07321685,0.763348,0.5597026,0.5228884,0.7918312,0.3906356,0.619941,0.3360296,0.762009,0.4323274,0.6383984,0.6821554,0.4147099,0.4216781,0.3536487,0.6261711,0.7053265,0.3983173,0.6677794,0.5771084,0.5414385,0.3491602,0.3843572
0.5327373,0.541999,0.3332416,0.9836431,0.4845716,0.07520888,0.345291,0.6420179,0.3665018,0.6505527,0.2494638,0.4208409,0.2817442,0.5640638,0.4273902,0.1923545,0.3541856,0.5597072,0.7130329,0.5698176,0.3857419,0.7509466,0.4398864,0.6511811,0.4369082,0.7136102
0.4552481,0.6213456,0.4706724,0.02653138,0.6617737,0.2053991,0.3352938,0.3035012,0.6528282,0.7663269,0.3841644,0.6256664,0.3454802,0.6243309,0.2898728,0.3494315,0.3665189,0.612836,0.3644966,0.7356185,0.7071313,0.6080525,0.3830846,0.7860507,0.3610477,0.4573062
0.579333,0.5462563,0.4219793,0.9091805,0.03977526,0.4993871,0.5600594,0.6338801,0.6509443,0.3084169,0.6776098,0.7991039,0.5664521,0.3286531,0.5236497,0.4755136,0.485413,0.203684,0.6880013,0.3257762,0.4537258,0.6889767,0.465928,0.4506193,0.6864214,0.5831261
0.5798885,0.4889832,0.5452402,0.06144625,0.1203011,0.83985,0.5721627,0.4425371,0.6841282,0.7180167,0.6432435,0.6540473,0.3957886,0.6702517,0.3522915,0.3533274,0.2258906,0.4012937,0.2513905,0.2713159,0.6395747,0.3066889,0.6169485,0.4051194,0.7217481,0.4790923
0.5687245,0.581852,0.5098966,0.1685469,0.9935566,0.7376907,0.480628,0.679844,0.6454691,0.7039193,0.434991,0.6072177,0.4099728,0.6422731,0.3675893,0.6195639,0.6007137,0.6268758,0.4862319,0.7749735,0.7401515,0.3096758,0.4661199,0.6911016,0.2759463,0.3462984
0.5448279,0.5487509,0.4633794,0.04497148,0.2344316,0.8932082,0.2962373,0.817892,0.5877525,0.1645858,0.5680291,0.3511306,0.2204934,0.3870197,0.1919055,0.632687,0.2543079,0.1929253,0.7689404,0.511115,0.3794344,0.4344219,0.6817195,0.6658039,0.5488647,0.8320359
0.4649716,0.6769412,0.6511384,0.03240347,0.1142754,0.5441357,0.3063329,0.4011961,0.7457449,0.5240901,0.383229,0.5220313,0.5820294,0.5833038,0.758571,0.6045175,0.604385,0.5045062,0.7985637,0.5989656,0.3414044,0.5451797,0.2201011,0.2021003,0.7307677,0.3976062
0.4959929,0.4315337,0.4029996,0.7889619,0.1106905,0.2721672,0.3786406,0.6292315,0.5950226,0.3765869,0.7805371,0.2526617,0.5637478,0.5989245,0.5697833,0.390632,0.4853818,0.3357081,0.3296029,0.6540436,0.5950632,0.3950166,0.7022231,0.5980861,0.6872847,0.6303735
0.4449763,0.4381791,0.5727637,0.1395545,0.9546033,0.5889243,0.4391639,0.4597812,0.7734124,0.4523681,0.3768498,0.7066259,0.2176266,0.3307206,0.3587457,0.2555913,0.3706489,0.343154,0.263908,0.425605,0.4081141,0.7265073,0.5687076,0.4055358,0.3514968,0.7048991
0.5234808,0.5400465,0.4259556,0.1469908,0.6040944,0.2165121,0.776311,0.4736124,0.2861519,0.5114114,0.7571666,0.3137299,0.5983168,0.542581,0.6468717,0.3243271,0.7113684,0.4562362,0.4163819,0.6493258,0.3514497,0.7099265,0.3361358,0.7248257,0.7037889,0.5285511
0.5476535,0.4688106,0.4790385,0.7786887,0.1655078,0.9084671,0.5477501,0.8076217,0.3030511,0.4358889,0.3288854,0.8116344,0.4465894,0.6232815,0.3114754,0.2485672,0.3238176,0.3397133,0.5110453,0.4158366,0.582386,0.2750463,0.6655555,0.3448914,0.6923394,0.2541881
0.5353239,0.5104406,0.4172245,0.965642,0.2817262,0.6202157,0.3641311,0.6531625,0.3460009,0.4276695,0.2041539,0.3271901,0.3647103,0.7946807,0.4666369,0.7841247,0.381689,0.4654238,0.3664893,0.6348395,0.608173,0.4299107,0.4140775,0.6612186,0.4404984,0.7006136
0.4988942,0.4805588,0.4419865,0.8729885,0.06773697,0.4278139,0.6662009,0.3496876,0.3219523,0.299524,0.2419114,0.4218399,0.545919,0.7024634,0.3435511,0.5733762,0.3392057,0.548518,0.4062963,0.3494448,0.6403226,0.5858732,0.2767289,0.2981329,0.4435298,0.686745
0.4245399,0.5332732,0.5475814,0.02770452,0.9689813,0.8169801,0.3851254,0.7353203,0.5737534,0.7419668,0.2660447,0.4263896,0.6108243,0.3828138,0.5297631,0.2440737,0.3477064,0.5981016,0.3087285,0.6902003,0.2215989,0.4521953,0.3645808,0.7531669,0.4247059,0.3799782
0.5702868,0.5061756,0.4294474,0.9947496,0.1542185,0.6710805,0.771687,0.2925283,0.3080343,0.4036247,0.7241628,0.4190737,0.2942986,0.2208048,0.4586,0.4119624,0.2830662,0.6590232,0.2788145,0.5229016,0.506063,0.7923109,0.5483459,0.6058612,0.2813053,0.3496702
0.447896,0.5824432,0.5436646,0.06343973,0.5221912,0.8449536,0.4364143,0.425127,0.291291,0.6014499,0.7402085,0.2053626,0.5210849,0.3569304,0.8196293,0.5933031,0.3264847,0.5928324,0.6868426,0.8268928,0.3025579,0.7067818,0.4558443,0.4459525,0.776832,0.2346098
0.3455929,0.4252678,0.4591562,0.03010487,0.1129284,0.0339831,0.5812668,0.6474488,0.3241958,0.7857416,0.4272612,0.4356627,0.4018991,0.3883979,0.5170549,0.5093552,0.2793402,0.474344,0.5023519,0.6102524,0.2347581,0.4370951,0.5908273,0.5227383,0.3311659,0.4054082
0.5533521,0.4133185,0.5343973,0.7953423,0.3171524,0.2199639,0.7359136,0.3001324,0.6759701,0.613872,0.6192152,0.5391265,0.3768873,0.744619,0.4497903,0.6044013,0.6942368,0.5403656,0.1844857,0.3657014,0.4434479,0.6976436,0.2598681,0.2904958,0.1722453,0.6042312
0.4612552,0.5562797,0.4873646,0.8801078,0.6071199,0.7353656,0.7100499,0.4772614,0.5955801,0.3708147,0.4330125,0.5103754,0.3321411,0.4393605,0.302951,0.6878816,0.2772101,0.283912,0.5210295,0.6104243,0.3234559,0.2894007,0.4672259,0.2884136,0.260092,0.4380504
