I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O20
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3543181,0.4051266,0.4615012,0.9325992,0.3155575,0.3380094,0.337519,0.8138644,0.788676,0.7609189,0.7864109,0.3237218,0.3645031,0.6542429,0.8071488,0.6537558,0.3839728,0.744022,0.3009533,0.4698721,0.6065418,0.2550451,0.468621,0.5133045,0.7150796,0.4649362
0.337519,0.8138644,0.788676,0.7609189,0.7864109,0.3237218,0.3645031,0.6542429,0.8071488,0.6537558,0.3839728,0.744022,0.3009533,0.4698721,0.6065418,0.2550451,0.468621,0.5133045,0.7150796,0.4649362,0.51351,0.4680202,0.5085124,0.9599943,0.1027956,0.8545112,0.6148634,0.3848259,0.3715636,0.5453541,0.8372598,0.5589218,0.4998771,0.9424629,0.5413634,0.6727298,0.7071959,0.4137058,0.6554402,0.636358,0.687573,0.560103,0.7117838,0.832805,0.2767585,0.2924277
0.6148634,0.3848259,0.3715636,0.5453541,0.8372598,0.5589218,0.4998771,0.9424629,0.5413634,0.6727298,0.7071959,0.4137058,0.6554402,0.636358,0.687573,0.560103,0.7117838,0.832805,0.2767585,0.2924277,0.4853705,0.5273141,0.4654889,0.03271733,0.3864431,0.1112321,0.4005388,0.3076141,0.855926,0.5104921,0.7129232,0.2571084,0.7688053,0.7458933,0.4441053,0.2256247,0.2313557,0.1523807,0.43934,0.6474128,0.9371827,0.3987052,0.7055407,0.8478058,0.3557901,0.1596615
0.4005388,0.3076141,0.855926,0.5104921,0.7129232,0.2571084,0.7688053,0.7458933,0.4441053,0.2256247,0.2313557,0.1523807,0.43934,0.6474128,0.9371827,0.3987052,0.7055407,0.8478058,0.3557901,0.1596615,0.4763075,0.5152898,0.5613645,0.823166,0.2391995,0.04042103,0.6169208,0.5484051,0.4030512,0.7145276,0.4149433,0.7289881,0.8398094,0.2894556,0.04909934,0.1931036,0.3034916,0.3881525,0.9276213,0.2284361,0.8815011,0.8191914,0.9405291,0.523344,0.3087864,0.0735622
0.6169208,0.5484051,0.4030512,0.7145276,0.4149433,0.7289881,0.8398094,0.2894556,0.04909934,0.1931036,0.3034916,0.3881525,0.9276213,0.2284361,0.8815011,0.8191914,0.9405291,0.523344,0.3087864,0.0735622,0.4867525,0.5802166,0.4564249,0.9199129,0.7136815,0.7717755,0.3237392,0.7495349,0.5856851,0.9032789,0.932843,0.7339727,0.3654978,0.4621172,0.2542159,0.008849686,0.2906692,0.4266421,0.7115436,0.5380763,0.8609796,0.4218793,0.6558388,0.5825402,0.2608497,0.2932052
0.3237392,0.7495349,0.5856851,0.9032789,0.932843,0.7339727,0.3654978,0.4621172,0.2542159,0.008849686,0.2906692,0.4266421,0.7115436,0.5380763,0.8609796,0.4218793,0.6558388,0.5825402,0.2608497,0.2932052,0.5057827,0.4518934,0.4176999,0.8949135,0.8433654,0.7045044,0.3218255,0.8121691,0.5774205,0.9252064,0.9156889,0.7115684,0.4109458,0.4879624,0.2606057,0.05216917,0.3066185,0.4724241,0.7572644,0.5158854,0.9300866,0.4414729,0.6940772,0.5935431,0.3161838,0.3803848
0.3218255,0.8121691,0.5774205,0.9252064,0.9156889,0.7115684,0.4109458,0.4879624,0.2606057,0.05216917,0.3066185,0.4724241,0.7572644,0.5158854,0.9300866,0.4414729,0.6940772,0.5935431,0.3161838,0.3803848,0.4691887,0.4729939,0.5202175,0.8797389,0.5813283,0.926203,0.6382273,0.2971493,0.7855549,0.4571255,0.5982318,0.6867813,0.4160518,0.5255418,0.3700755,0.4603918,0.5042279,0.09326214,0.747221,0.4617039,0.3964259,0.4625942,0.5259886,0.6011473,0.5614061,0.8335468
0.6382273,0.2971493,0.7855549,0.4571255,0.5982318,0.6867813,0.4160518,0.5255418,0.3700755,0.4603918,0.5042279,0.09326214,0.747221,0.4617039,0.3964259,0.4625942,0.5259886,0.6011473,0.5614061,0.8335468,0.5584152,0.5732313,0.4930189,0.03059534,0.09757481,0.9383099,0.3167354,0.6197829,0.7849031,0.6041155,0.3889007,0.4276861,0.4884595,0.2036551,0.7195277,0.4569862,0.2884042,0.4880183,0.7170945,0.2410297,0.1939722,0.5016048,0.484795,0.5936911,0.354708,0.5169448
0.3167354,0.6197829,0.7849031,0.6041155,0.3889007,0.4276861,0.4884595,0.2036551,0.7195277,0.4569862,0.2884042,0.4880183,0.7170945,0.2410297,0.1939722,0.5016048,0.484795,0.5936911,0.354708,0.5169448,0.4677894,0.5558746,0.5484508,0.9809672,0.943204,0.6896493,0.4968615,0.5909877,0.4782203,0.5921233,0.3418762,0.3966506,0.2611371,0.2882925,0.6171189,0.6654526,0.2714857,0.1649769,0.8727888,0.6297197,0.4576456,0.7555596,0.4933904,0.3717095,0.5936599,0.328909
0.4968615,0.5909877,0.4782203,0.5921233,0.3418762,0.3966506,0.2611371,0.2882925,0.6171189,0.6654526,0.2714857,0.1649769,0.8727888,0.6297197,0.4576456,0.7555596,0.4933904,0.3717095,0.5936599,0.328909,0.5858855,0.5224259,0.6176593,0.9131418,0.3134051,0.3870968,0.8270357,0.8501815,0.4769199,0.2318702,0.08782375,0.7215596,0.1662947,0.04063446,0.7952917,0.3119638,0.3510506,0.5189517,0.9756297,0.5725688,0.07786472,0.6341921,0.1009171,0.6546263,0.7915375,0.7151802
0.8270357,0.8501815,0.4769199,0.2318702,0.08782375,0.7215596,0.1662947,0.04063446,0.7952917,0.3119638,0.3510506,0.5189517,0.9756297,0.5725688,0.07786472,0.6341921,0.1009171,0.6546263,0.7915375,0.7151802,0.3989861,0.5497729,0.5019233,0.06746431,0.2596073,0.09370515,0.6269627,0.5903279,0.6843622,0.6677833,0.04391595,0.9685779,0.2959768,0.3719944,0.8269514,0.4577939,0.7977535,0.566184,0.6779784,0.2557998,0.1779254,0.8411629,0.4988201,0.8001701,0.7712299,0.6910835
0.6269627,0.5903279,0.6843622,0.6677833,0.04391595,0.9685779,0.2959768,0.3719944,0.8269514,0.4577939,0.7977535,0.566184,0.6779784,0.2557998,0.1779254,0.8411629,0.4988201,0.8001701,0.7712299,0.6910835,0.5117443,0.4856731,0.3771544,0.996496,0.9437653,0.7244182,0.6560324,0.5832449,0.7050686,0.2423254,0.3337006,0.5246705,0.6323782,0.3874878,0.6236749,0.4812087,0.8568182,0.7924334,0.5276974,0.2447253,0.5946447,0.585411,0.8292373,0.528308,0.8118594,0.6535805
